filename,Reentrancy,Integer_Overflow_Underflow,Access_Control,Timestamp_Dependence,Transaction_Ordering_Dependence_Front_Running,tx_origin,Unchecked_Low_Level_Calls
CodeSmell_OriginalFiles/0x00430f32b8e77a456d0ab7e6f1dc1b84f4ae62e0.sol,[],[],[],[],[],[],[]
CodeSmell_OriginalFiles/0x01617196358c14628d032f9c5f7188f2fbcafd78.sol,[],[],[],[],[],[],['Slither']
CodeSmell_OriginalFiles/0x01bd70a0cc118bca4c70624286488e8f3d78a10f.sol,[],[],[],[],[],[],['Slither']
CodeSmell_OriginalFiles/0x01d5d0108589f3c52fcce6e65503bb6515e66698.sol,[],[],[],['Osiris'],[],[],[]
CodeSmell_OriginalFiles/0x0214d7faA8145bDdb0fb4977980cE26AA1f95cEE.sol,[],[],[],[],[],[],[]
CodeSmell_OriginalFiles/0x0348b55abd6e1a99c6ebc972a6a4582ec0bceb5c.sol,[],['Osiris'],[],[],[],[],[]
CodeSmell_OriginalFiles/0x035a401972f228b58dcae76bf318b54ed036d680.sol,[],"['Osiris', 'Oyente']",[],[],[],[],['Slither']
CodeSmell_OriginalFiles/0x040d11c850fb167cddb1e4d308fe9062fddaebd1.sol,[],"['Osiris', 'Oyente']",[],[],[],[],['Slither']
CodeSmell_OriginalFiles/0x05580ac8bdcdecee70c39592cd07c303992d58b8.sol,[],[],[],[],[],[],[]
CodeSmell_OriginalFiles/0x05d379b48A8622ae4018309E116420Db4a38A225.sol,[],[],[],[],[],[],[]
CodeSmell_OriginalFiles/0x06012c8cf97bead5deae237070f9587f8e7a266d.sol,['Slither'],"['Osiris', 'Oyente']",[],['Osiris'],[],[],[]
CodeSmell_OriginalFiles/0x060e1e5ca588561431822e296aeab1fdecc893dc.sol,[],[],[],[],[],[],[]
CodeSmell_OriginalFiles/0x06Ee3390532f493B4C3a41aA6E396ec750C038d7.sol,[],[],[],[],[],[],['Slither']
